"Date.Made.Public","Company","City","State","Type.of.breach","Type.of.organization","Total.Records","Description.of.incident","Information.Source","Source.URL","Year.of.Breach","Latitude","Longitude","X","X.1","X.2","total_records","date","date_next","time","log_time","log_size","flag_train"
"7/23/2015","Medical Informatics Engineering","","IN","HACK","MED","3900000","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",3900000,2015-07-23,2015-07-24,1,0,15.1764871110999,1
"7/24/2015","Healthfirst Affiliates that include Healthfirst PHSP, Inc., Managed Health, Inc., HF Management Services, LLC, and Senior Health Partners ","","NY","HACK","MED","5338","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",5338,2015-07-24,2015-07-31,7,1.94591014905531,8.58260632996447,1
"7/31/2015","Siouxland Anesthesiology, Ltd.","","SD","HACK","MED","13000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",13000,2015-07-31,2015-08-19,19,2.94443897916644,9.47270463644367,1
"8/19/2015","Web.com","Jacksonville","Florida","HACK","BSO","93,000","Web.com notified customers of a data breach to their systems, when hackers were able to infiltrate their system gaining personal information of customers.The information included credit card numbers, names, addresses, card validation numbers and the security codes associated with the credit cards.The CEO of Web.com put out a statement regarding the breach http://ir.web.com/releasedetail.cfm?ReleaseID=928078More Information: https://threatpost.com/web-com-loses-93000-credit-card-numbers-in-breach...","Media","",2015,30.136493,-81.532047,NA,NA,"",93000,2015-08-19,2015-08-21,2,0.693147180559945,11.4403547721354,1
"8/21/2015","Pediatric Group LLC","","IL","HACK","MED","10000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",10000,2015-08-21,2015-09-09,19,2.94443897916644,9.21034037197618,1
"9/9/2015","Excellus Health Plan, Inc.","","NY","HACK","MED","10000000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",1e+07,2015-09-09,2015-09-09,0.758103052387014,-0.27693594956337,16.1180956509583,1
"9/9/2015","Oakland Family Services","","MI","HACK","MED","16107","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",16107,2015-09-09,2015-09-10,1,0,9.68700923909068,1
"9/10/2015","Excellus Blue Cross Blue Shield","Syracuse","New York","HACK","BSF","10,000,000","Excellus has revealed that in August the company discovered a breach to their system that may have started two years prior by hackers, gaining access to its customers' information.The information accessed included names, birth dates, Social Security numbers, mailing addresses, telephone numbers, claims and financial payment information, which included some credit card numbers. ""Excellus spokesperson Cane confirmed in a phone call with WIRED that 
between 10 and 10.5 million customers had their data potentially 
accessed in the breach. Beyond just Excellus itself, the company says 
that even some of its insurance partners within the Blue Cross Blue 
Shield network may be affected, accounting for about 3.5 million of 
those victims. Everyone affected will receive a letter from Excellus, 
along with two years of free credit monitoring from the company.""More information: http://www.wired.com/2015/09/hack-brief-health-insurance-firm-excellus-s...UPDATE (9/21/2015): A class-action lawsuit has now been filed against Excellus as a result of the data breach the company suffered exposing 10.5 million individuals to potential identity theft. More Information: http://www.databreachtoday.com/excellus-faces-breach-related-lawsuit-a-8539","Media","",2015,43.048122,-76.147424,NA,NA,"",1e+07,2015-09-10,2015-09-16,6,1.79175946922805,16.1180956509583,1
"9/16/2015","Daniel A. Sheldon, M.D., P.A.","","FL","HACK","MED","2075","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",2075,2015-09-16,2015-09-17,1,0,7.6377164326648,1
"9/17/2015","Kardashian Website","Los Angeles","California","HACK","BSO","663,200","The Kardashian brand recently launched a new website design which appears to have some security holes. One developer discovered a misconfiguration in the site that allowed him to access full names and emails of over 600,000 users who signed up for Kylie Jenner's website.This developer stated ""I’ll admit I downloaded Kylie’s app just to check it out. I also checked
 out the website, and just like most developers, I decided to take a 
look around to see what was powering the site. After I started digging a
 little bit deeper, I found a JavaScript file 
namedkylie.min.75c4ceae105ad8689f88270895e77cb0_gz.js. Just for fun, I 
decided to un-minify this file to see what kind of data they were 
collecting from users and other metrics they may be tracking. I saw 
several calls to an API, which of course made sense. I popped one of 
those endpoints into my browser, and got an error just liked I expected.""The developer then logged in with his own username and password and was ""directed to a web page that contained the first and last names and email addresses of the 663,270 people who had signed up for the site.""More Information: http://techcrunch.com/2015/09/16/kardashian-website-security-issue-expos... ","Media","",2015,34.052234,-118.243685,NA,NA,"",663200,2015-09-17,2015-09-21,4,1.38629436111989,13.4048318828032,1
"9/21/2015","Systema Software","Larkspur","California","HACK","BSO","1,500,000","Systema Software has communicated that a ""single individual gained unapproved access into our data storage system."" It has been communicated that this breach exposed over 1.5 million records of public agencies in California, Kansas and Utah.The records included police injury reports, drug tests, detailed doctor visit notes and Social Security numbers. More information: http://www.modernhealthcare.com/article/20150921/NEWS/150929997 ","Media","",2015,37.948658,-122.510013,NA,NA,"",1500000,2015-09-21,2015-09-21,0.724498892668635,-0.32227504563025,14.2209756660724,1
"9/21/2015","Heartland Health Clinic","","VA","HACK","MED","3650","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",3650,2015-09-21,2015-10-01,10,2.30258509299405,8.20248244657654,1
"10/1/2015","Experian","Cost Mesa","California","HACK","BSF","15,000,000","Experian has announced a breach to their system affecting over 15 million T-Mobile customers. T-Mobile uses Experian to run credit checks on potential customers. ""Who Is Affected 

Experian said the incident is ""isolated"" and is only limited to 
consumers who applied for T-Mobile USA services between Sept. 1, 2013, 
and Sept. 16, 2015.
 What's Been Exposed 

The information exposed to hackers includes names, addresses, social security
 numbers, dates of birth, and various identification numbers, including a
 passport, driver's license or military identification number, according
 to Experian.""T-Mobile is offereing 2 years free of identity theft monitoring services through Experian.More information: http://abcnews.go.com/Technology/experian-hack-exposes-mobile-customers/...UPDATE (10/07/2015): T-Mobile is now offering a secondary service to customers who were part of the Experian breach that is not an Experian service. See the link below for the information.https://www.csid.com/t-mobile/ ","Media","",2015,33.641132,-117.918669,NA,NA,"",1.5e+07,2015-10-01,2015-10-01,0.547646587016061,-0.602125114285008,16.5235607590665,1
"10/1/2015","Scottrade","St. Louis","Missouri","HACK","BSF","4,600,000","Scottrade notified customers of a data breach, when one of their systems was hacked into exposing customers records. The information compromised included client names and street addresses.The company is providing AllClear ID to those affected for one year for free.  Those affected can call 855-229-0083 Monday through Saturday 8:00 am to 8:00 pm. More information: https://oag.ca.gov/system/files/Scottrade%20California%20notice%20only%2...?UPDATED (10/2/2015): The Scottstrade data breach appears to have affected 4.6 million customers. The company stated “Based upon our subsequent internal investigation coupled with 
information provided by the authorities, we believe a list of client 
names and street addresses was taken from our system,” the email notice 
reads. “Importantly, we have no reason to believe that Scottrade’s 
trading platforms or any client funds were compromised. All client 
passwords remained encrypted at all times and we have not seen any 
indication of fraudulent activity as a result of this incident.” The notice sent out also stated that ""that although Social Security numbers, email addresses 
and other sensitive data were contained in the system accessed, “it appears that contact information was the focus of the incident.”""More information: http://krebsonsecurity.com/2015/10/scottrade-breach-hits-4-6-million-cus...","California Attorney General","",2015,38.627003,-90.199404,NA,NA,"",4600000,2015-10-01,2015-10-01,0.943724818294868,-0.057920661376354,15.3415668614593,1
"10/1/2015","American Bankers Association","Washington","District Of Columbia","HACK","BSF","6,400","The American Bankers Association has notified customers of a data breach when email addresses and passwords used to make purchases on their site or used to register for events were compromised. ""6,400 users' records had been posted online, the trade group said, though there was no evidence that credit card or other personal financial information had been accessed.""More information: http://www.americanbanker.com/news/bank-technology/experian-aba-breached...","Media","",2015,38.904107,-77.040998,NA,NA,"",6400,2015-10-01,2015-10-09,8,2.07944154167984,8.76405326934776,1
